Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1946-1970,1971-1990,1971-1990,Apres 1990,Apres 1990,Avant 1946,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
18770,1,82,17,70,23,17,28,0,0,0,0,0,0,1,1,7511768,1,0,0.040306042425190564,-0.9058307868075594,31.8
7169,1,194,7,56,84,0,217,0,0,1,1,0,0,0,0,7510725,1,0,0.02097740006553859,0.36105291208426493,35.9
18770,3,152,17,70,40,29,41,0,0,0,0,0,0,1,1,7511767,0,1,0.04246158300548295,-0.6927070568004665,23.3
24474,1,294,18,196,134,21,141,0,0,0,0,0,0,1,1,7511870,0,1,0.029657441569164104,1.5372174893205752,26.7
13759,3,86,12,94,73,26,33,0,0,1,1,0,0,0,0,7511246,1,0,0.10187496778338553,-0.2841438447623457,23.4
7169,2,17,7,25,18,2,31,0,0,1,1,0,0,0,0,7510726,1,0,0.029053008834889205,0.15409345577556788,30.2
18770,4,82,17,70,23,17,28,0,0,0,0,0,0,1,1,7511768,0,1,0.040306042425190564,-0.9058307868075594,21.4
15726,2,357,1,63,53,5,51,1,1,0,0,0,0,0,0,7510102,1,0,0.0,0.0,26.8
17723,1,70,13,78,37,10,23,1,1,0,0,0,0,0,0,7511350,1,0,0.044398323971411253,-0.884053139014644,25.9
15167,3,62,10,45,23,15,25,0,0,1,1,0,0,0,0,7511040,0,1,0.025982197987841873,0.5956749430371416,19.7
5350,4,45,2,23,55,4,11,1,1,0,0,0,0,0,0,7510206,0,1,0.008892602048576588,-0.9196136595002139,23.0
15167,4,187,10,106,33,21,29,0,0,0,0,0,0,1,1,7511037,0,1,0.021670423696255475,0.9836087971066798,20.1
15167,3,62,10,45,23,15,25,1,1,0,0,0,0,0,0,7511040,0,1,0.025982197987841873,0.5956749430371416,18.9
5428,2,132,4,45,54,2,22,0,0,0,0,0,0,1,1,7510413,1,0,0.00768792664171321,-0.5690648694063986,31.9
13759,4,86,12,94,73,26,33,0,0,1,1,0,0,0,0,7511246,0,1,0.10187496778338553,-0.2841438447623457,18.7
17723,1,16,13,35,13,9,13,0,0,0,0,1,1,0,0,7511349,1,0,0.03150370160897329,-0.872503783119703,32.8
13759,1,37,12,42,23,15,18,0,0,0,0,0,0,1,1,7511245,0,1,0.10318839920409463,-0.23960639908888043,25.2
14628,1,226,9,75,21,0,20,0,0,0,0,1,1,0,0,7510934,1,0,0.016766360054298265,-0.7230741369929625,36.3
8477,2,378,6,113,42,5,72,0,0,0,0,0,0,1,1,7510623,1,0,0.025716388963695498,0.6619775083949289,32.0
13759,3,37,12,42,23,15,18,1,1,0,0,0,0,0,0,7511245,1,0,0.10318839920409463,-0.23960639908888043,21.4
15167,3,124,10,78,35,11,25,1,1,0,0,0,0,0,0,7511039,0,1,0.01949907394223315,0.5338691280771024,18.9
15167,4,78,10,75,22,3,23,0,0,1,1,0,0,0,0,7511038,0,1,0.013131521851184724,0.9829598026967977,21.7
14628,4,118,9,53,44,8,29,0,0,1,1,0,0,0,0,7510936,1,0,0.01791869658560452,1.564172471948611,24.5
19422,3,118,15,124,43,31,67,0,0,1,1,0,0,0,0,7511557,0,1,0.05432869012675574,0.5318041662032758,22.1
13759,2,20,12,22,34,4,7,0,0,0,0,0,0,1,1,7511247,0,1,0.04888113263636414,-0.5854181039009496,22.7
7169,4,17,7,25,18,2,31,0,0,0,0,1,1,0,0,7510726,1,0,0.029053008834889205,0.15409345577556788,33.8
15167,1,124,10,78,35,11,25,0,0,1,1,0,0,0,0,7511039,0,1,0.01949907394223315,0.5338691280771024,25.4
5350,4,93,2,30,12,3,16,0,0,1,1,0,0,0,0,7510207,0,1,0.006037335832314766,-1.5369719854089665,22.9
8477,3,221,6,45,126,0,59,0,0,0,0,1,1,0,0,7510624,0,1,0.012815162302587524,0.5459862981518804,24.5
8477,1,83,6,47,137,1,21,1,1,0,0,0,0,0,0,7510621,1,0,0.008898692094924467,1.0366678736925319,36.0
13879,2,51,14,45,30,11,21,0,0,0,0,1,1,0,0,7511453,0,1,0.027714581248481984,1.1084022146821828,25.0
5428,3,311,4,68,48,3,63,0,0,0,0,0,0,1,1,7510414,1,0,0.015032934622597622,-0.4327165179589617,28.3
20898,3,183,8,56,45,15,51,0,0,0,0,0,0,1,1,7510830,0,1,0.043695326468300634,-0.27614936456924316,27.2
16265,2,107,16,63,13,27,26,0,0,1,1,0,0,0,0,7511664,0,1,0.05324800542923952,-0.13107961343520277,26.9
15513,4,118,11,68,65,23,64,0,0,0,0,1,1,0,0,7511144,1,0,0.04212937941788979,-0.2272299232755855,26.6
19422,1,145,15,90,63,22,110,0,0,0,0,0,0,1,1,7511559,0,1,0.05491731707144338,0.20881656332917942,27.7
14628,1,118,9,53,44,8,29,1,1,0,0,0,0,0,0,7510936,0,1,0.01791869658560452,1.564172471948611,28.0
19422,3,110,15,99,33,24,48,0,0,0,0,0,0,1,1,7511558,0,1,0.03749485221786559,0.5565652275688768,24.8
18770,2,152,17,91,21,27,38,0,0,1,1,0,0,0,0,7511766,0,1,0.04937038284418086,-0.4978539975895506,24.9
18770,2,82,17,70,23,17,28,1,1,0,0,0,0,0,0,7511768,0,1,0.040306042425190564,-0.9058307868075594,22.1
19856,4,84,19,66,13,11,28,1,1,0,0,0,0,0,0,7511973,0,1,0.038590398049620556,0.6758331820717092,14.6
5428,2,132,4,45,54,2,22,0,0,1,1,0,0,0,0,7510413,0,1,0.00768792664171321,-0.5690648694063986,25.3
15513,3,63,11,62,35,32,45,0,0,0,0,0,0,1,1,7511142,0,1,0.03038028622527556,-0.008902182159552767,23.3
17723,3,70,13,78,37,10,23,0,0,1,1,0,0,0,0,7511350,1,0,0.044398323971411253,-0.884053139014644,18.9
8477,3,40,5,50,16,5,14,0,0,1,1,0,0,0,0,7510518,1,0,0.023388618931187908,-1.051816806927014,24.6
18654,4,92,20,88,19,25,35,0,0,1,1,0,0,0,0,7512080,1,0,0.06035182046056602,-0.09795681717243715,17.0
20898,1,324,8,53,80,2,62,0,0,0,0,1,1,0,0,7510831,1,0,0.02699974529041645,-0.33203506116808423,36.3
16265,3,107,16,63,13,27,26,1,1,0,0,0,0,0,0,7511664,1,0,0.05324800542923952,-0.13107961343520277,28.6
15513,2,63,11,62,35,32,45,0,0,0,0,0,0,1,1,7511142,1,0,0.03038028622527556,-0.008902182159552767,27.8
8477,4,42,5,62,49,4,26,0,0,0,0,0,0,1,1,7510517,1,0,0.017639857076606928,-0.937066607169339,28.4
