X,Y,OBJECTID,C_ORD,NIV6,ARRO,QUA,IRIS,NUM,LET,TYP_VOIE,LIB_VOIE,LIBACT,SIT,CODACT,SURF,CC_ID,CC_NIV,TYPE
648791.484680176,6863832.12487793,18815,21573,2,8,30,751083005,5,,RUE,WASHINGTON,Tabac,R,CE501,1,,,C
648815.819519043,6864037.60211182,18831,21595,2,8,30,751083005,21,,AV,FRIEDLAND,Opticien,R,CC301,1,,,C
648828.11907959,6864032.88110352,18835,21603,2,8,30,751083005,17,,RUE,LAMENNAIS,Vente de meubles salon et chambre,A,CD103,1,,,C
648874.08770752,6863912.33770752,18837,21606,2,8,30,751083005,21,,RUE,WASHINGTON,Joaillerie,R,CB301,1,,,C
648876.965087891,6863915.11627197,18838,21607,2,8,30,751083005,21,,RUE,WASHINGTON,Galerie d'art,R,CE302,1,,,C
648864.225891113,6864045.24127197,18844,21619,2,8,30,751083005,17,,AV,FRIEDLAND,Revêtements sols et murs,R,CF103,1,,,C
648847.448913574,6864032.61407471,18845,21628,2,8,30,751083005,14,,RUE,LAMENNAIS,Vente de vaisselle - Ustensiles ménagers - Art de la table,A,CD205,1,,,C
649074.76348877,6864009.63531494,18856,21639,2,8,30,751083005,39,,RUE,ARTOIS,Généraliste Sport,R,CE201,2,,,C
649061.689880371,6864021.74591064,18857,21640,2,8,30,751083005,41,,RUE,ARTOIS,"Vente, réparation, location de vélos / vélos électriques",R,CE203,1,,,C
648980.446105957,6863851.35211182,18871,21661,2,8,30,751083005,17,,RUE,BERRI,Joaillerie,R,CB301,1,,,C
649017.320922852,6863881.02789307,18873,21663,2,8,30,751083005,23,,RUE,BERRI,Chaussures Homme,R,CB202,1,,,C
