Nombre_delits_crimes_2019,piece,Vetements_accessoires,arrondissement,services,loisirs,Commerces_automobile,Mobilier_electromenager,1946-1970,1971-1990,Apres 1990,Avant 1946,code_grand_quartier,meublé,non meublé,polar_coords1,polar_coords2,ref
8477,4,378,6,113,42,5,72,0,0,1,0,7510623,1,0,0.24921783031861436,0.7095607920640797,33.8
15167,3,187,10,106,33,21,29,0,1,0,0,7511037,1,0,0.21000833294636057,0.8131019782982588,24.0
24474,2,196,18,117,81,29,51,1,0,0,0,7511869,1,0,0.3077401905163699,0.10943588958096911,22.6
19422,2,118,15,124,43,31,67,0,1,0,0,7511557,1,0,0.5264999800927226,0.6676547252738214,25.0
15167,1,124,10,78,35,11,25,1,0,0,0,7511039,0,1,0.1889657567384707,0.6683194883408748,23.9
19856,4,29,19,21,10,8,11,0,1,0,0,7511974,0,1,0.4968879397938482,0.7135808865378325,15.0
5350,1,45,2,23,55,4,11,0,1,0,0,7510206,1,0,0.08617831187581519,0.20040689003769152,34.2
8477,2,83,6,47,137,1,21,0,0,0,1,7510621,0,1,0.08623733058717085,0.8301830270736872,28.2
19422,3,110,15,99,33,24,48,0,0,1,0,7511558,0,1,0.36336305735013036,0.6756259325418722,24.4
13759,2,86,12,94,73,26,33,0,0,0,1,7511246,1,0,0.9872715205309921,0.40498057656400793,26.2
24474,3,33,18,35,7,8,12,0,1,0,0,7511872,1,0,0.3596220211629256,0.8205144167806417,18.9
13759,2,20,12,22,34,4,7,0,0,1,0,7511247,0,1,0.4737076358717704,0.3079928292028016,23.3
20898,3,127,8,89,66,11,54,0,0,1,0,7510832,1,0,0.3238944399007913,0.3318838027766077,27.2
13879,3,66,14,71,31,20,35,0,0,1,0,7511456,0,1,0.4051421792658828,0.7626496958546058,22.9
15513,1,118,11,68,65,23,64,1,0,0,0,7511144,1,0,0.40827631538854264,0.42330259668705444,27.6
20898,2,324,8,53,80,2,62,1,0,0,0,7510831,0,1,0.2616548516952385,0.3895631917171873,26.7
8378,1,65,3,20,62,5,9,0,0,1,0,7510312,0,1,0.09787717563465705,0.5038856630908805,28.4
8477,2,40,5,50,16,5,14,0,0,1,0,7510518,0,1,0.22665938333753916,0.15784737798496123,24.8
8477,4,68,5,93,100,0,11,0,1,0,0,7510520,1,0,0.12809058249167188,0.0,25.9
14628,3,88,9,65,106,7,34,1,0,0,0,7510933,0,1,0.2045689780660741,0.17068644098913016,20.3
8378,1,80,3,27,56,8,17,0,0,1,0,7510309,1,0,0.12544525112360697,0.6053544029785981,32.1
16265,1,151,16,56,7,8,25,0,0,1,0,7511663,1,0,0.7165140369566885,0.4551265190880629,31.2
15167,4,62,10,45,23,15,25,0,0,1,0,7511040,1,0,0.2517937887228206,0.6882163317815884,21.9
15726,3,249,1,35,20,2,16,0,0,0,1,7510104,0,1,0.1635538931629119,0.3985873213123742,27.2
8477,1,221,6,45,126,0,59,0,0,0,1,7510624,1,0,0.12419188979994375,0.6722203095836371,37.0
18770,3,152,17,70,40,29,41,1,0,0,0,7511767,1,0,0.4114957042942287,0.2734538218272014,23.4
15513,2,138,11,82,62,15,61,0,0,0,1,7511141,0,1,0.283199287148022,0.5534237880339585,24.2
8477,4,221,6,45,126,0,59,0,0,0,1,7510624,1,0,0.12419188979994375,0.6722203095836371,28.9
19856,2,84,19,66,13,11,28,0,1,0,0,7511973,1,0,0.3739800049935191,0.7140212812606183,20.2
8378,1,80,3,27,56,8,17,0,0,1,0,7510309,0,1,0.12544525112360697,0.6053544029785981,28.4
19856,4,29,19,21,10,8,11,1,0,0,0,7511974,0,1,0.4968879397938482,0.7135808865378325,14.6
7169,2,122,7,69,42,7,41,0,1,0,0,7510728,0,1,0.4318911825199397,0.5302777682755129,26.7
19856,1,41,19,51,14,12,16,0,0,0,1,7511975,0,1,0.5165879066185225,0.6220026667952664,26.0
15726,4,33,1,28,20,1,14,0,0,1,0,7510101,0,1,0.091801740627592,0.5516253945445405,26.2
15513,4,138,11,82,62,15,61,1,0,0,0,7511141,0,1,0.283199287148022,0.5534237880339585,21.6
19856,1,41,19,51,14,12,16,0,1,0,0,7511975,1,0,0.5165879066185225,0.6220026667952664,24.0
7169,3,17,7,25,18,2,31,1,0,0,0,7510726,0,1,0.2815530530464547,0.5460601653425303,25.3
19422,1,118,15,124,43,31,67,0,0,1,0,7511557,0,1,0.5264999800927226,0.6676547252738214,26.9
13759,3,20,12,22,34,4,7,0,0,0,1,7511247,0,1,0.4737076358717704,0.3079928292028016,20.5
8477,1,378,6,113,42,5,72,0,1,0,0,7510623,0,1,0.24921783031861436,0.7095607920640797,31.8
15513,3,154,11,86,67,32,67,0,0,1,0,7511143,0,1,0.3553486347352907,0.4536571179413521,20.9
13759,1,126,12,94,66,26,101,0,0,0,1,7511248,1,0,0.32445070901559786,0.3427837217681108,31.8
17723,2,16,13,35,13,9,13,1,0,0,0,7511349,0,1,0.30530274577341426,0.21557274191522813,21.4
24474,3,196,18,117,81,29,51,1,0,0,0,7511869,1,0,0.3077401905163699,0.10943588958096911,20.5
14628,3,226,9,75,21,0,20,0,0,1,0,7510934,0,1,0.1624829940537827,0.26367789636238326,24.5
14628,4,226,9,75,21,0,20,1,0,0,0,7510934,0,1,0.1624829940537827,0.26367789636238326,22.9
8477,1,378,6,113,42,5,72,0,1,0,0,7510623,1,0,0.24921783031861436,0.7095607920640797,35.9
18654,1,63,20,51,31,10,18,0,0,0,1,7512077,1,0,0.4151518031081543,0.5658801937328212,31.8
18654,2,92,20,88,19,25,35,0,1,0,0,7512080,0,1,0.5848702075627431,0.46491885488043166,17.9
15513,2,118,11,68,65,23,64,0,1,0,0,7511144,1,0,0.40827631538854264,0.42330259668705444,25.2
8477,3,68,5,93,100,0,11,0,1,0,0,7510520,0,1,0.12809058249167188,0.0,24.1
15167,1,124,10,78,35,11,25,0,0,0,1,7511039,0,1,0.1889657567384707,0.6683194883408748,28.1
13879,4,66,14,71,31,20,35,0,1,0,0,7511456,0,1,0.4051421792658828,0.7626496958546058,21.3
5428,3,311,4,68,48,3,63,0,0,1,0,7510414,1,0,0.14568434764516724,0.3571513032169506,26.0
16265,3,229,16,90,14,4,59,0,0,0,1,7511662,1,0,0.8940519423039075,0.49217257612986753,27.3
24474,4,294,18,196,134,21,141,0,1,0,0,7511870,0,1,0.28741061783994865,0.9913225144002398,18.7
15513,1,63,11,62,35,32,45,0,0,0,1,7511142,0,1,0.29441571397175076,0.4935877775645978,29.0
8378,2,65,3,20,62,5,9,0,1,0,0,7510312,0,1,0.09787717563465705,0.5038856630908805,22.7
7169,2,194,7,56,84,0,217,0,0,1,0,7510725,1,0,0.2032922327251897,0.6126856099453033,33.2
13759,2,126,12,94,66,26,101,0,0,1,0,7511248,1,0,0.32445070901559786,0.3427837217681108,27.0
5428,2,83,4,29,38,6,16,0,1,0,0,7510415,1,0,0.2163958613814546,0.33339682374395774,28.6
5350,1,156,2,31,29,2,26,0,0,0,1,7510208,1,0,0.07108821097162595,0.7402390611187946,35.1
20898,1,198,8,34,3,7,6,0,0,0,1,7510829,0,1,0.3716300616298281,0.44333088914593055,32.7
15513,1,138,11,82,62,15,61,0,0,0,1,7511141,1,0,0.283199287148022,0.5534237880339585,31.8
5428,4,311,4,68,48,3,63,1,0,0,0,7510414,1,0,0.14568434764516724,0.3571513032169506,26.0
19422,1,124,15,61,28,16,55,1,0,0,0,7511560,1,0,0.6781718785119147,0.6051333756247833,28.6
15513,3,154,11,86,67,32,67,1,0,0,0,7511143,1,0,0.3553486347352907,0.4536571179413521,21.4
18770,3,152,17,91,21,27,38,0,0,0,1,7511766,1,0,0.47844896543585286,0.33618191327895774,28.0
5428,3,132,4,45,54,2,22,0,0,1,0,7510413,1,0,0.07450378822630425,0.31325734592663623,27.7
5350,1,93,2,30,12,3,16,1,0,0,0,7510207,0,1,0.05850789312443561,0.001663746445630332,29.8
